POA&M Item ID,Control Vulnerability Description,Controls / APs,Security Checks,POA&M Status,POA&M Scheduled Completion Date,POA&M Requested Risk Accepted Expiration Date,POA&M Completion Date,Milestone ID,Milestone Description,Milestone Status,Milestone Status Comments,Milestone Scheduled Completion Date,Milestone Completion Date,Identification Source,Identification Source Details,Office/Org,Resources Required,Comments,Raw Severity,Devices Affected,Mitigations (in-house and in conjunction with the Navy CSSP),Predisposing Conditions,Severity,Relevance of Threat,Threat Description,Likelihood,Impact,Impact Description,Residual Risk Level,Recommendations,Resulting Residual Risk after Proposed Mitigations
,The Adobe Acrobat Pro DC Continuous latest security-related software updates must be installed.,SI-2,V-213129,Ongoing,,,,,,,,,,Adobe Acrobat Professional DC Continuous Track Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 information systems must use BitLocker to encrypt all disks to protect the confidentiality and integrity of all information at rest.,SC-28(1),V-253259,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Windows 11 systems must use a BitLocker PIN for pre-boot authentication.,SC-28(1),V-253260,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,The Windows 11 system must use an antivirus program.,CM-6,V-253264,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,Only accounts responsible for the administration of a system must have Administrator rights on the system.,AC-3(4),V-253269,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"Administrative accounts must not be used with applications that access the internet, such as web browsers, or with potential internet sources, such as email.",CM-6,V-253294,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Credential Guard must be running on Windows 11 domain-joined systems.,CM-6,V-253370,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Anonymous SID/Name translation must not be allowed.,CM-6,V-253452,Ongoing,,,,,,,,,,Windows 11 Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA",,,,,,,,,,,
,The installed version of Firefox must be supported.,SI-2,V-251545,Ongoing,,,,,,,,,,Mozilla Firefox Security Technical Implementation Guide,,,,,high,"WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Adobe Reader DC must have the latest Security-related Software Updates installed.,SI-2,V-213192,Ongoing,,,,,,,,,,Adobe Acrobat Reader DC Continuous Track Security Technical Implementation Guide,,,,,high,WKS7-SOTERIA,,,,,,,,,,,
,"Title:
Microsoft Windows Notepad < 11.2510 Command Injection (February 2026)

Description:
The Windows 'Microsoft Windows Notepad' app installed on the remote host is prior to version 11.2510. It is, therefore, affected by a command injection vulnerability:

  - Improper neutralization of special elements used in a command allows an unauthorized     attacker to execute code over a network. (CVE-2026-20841)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.",,298646,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603030606,,Soteria Software LLC,,,High,WKS2-SOTERIA,,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
Microsoft Teams for Desktop < 25122.1415.3698.6812 Remote Code Execution (August 2025)

Description:
The version of Microsoft Teams for Desktop on the remote Windows host is prior to 25122.1415.3698.6812 It is, therefore, affected by a remote code execution vulnerability:

  - Heap-based buffer overflow in Microsoft Teams allows an unauthorized attacker to execute code over a network.
    (CVE-2025-53783)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.",,250276,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,Soteria Software LLC,,,High,"WKS7-SOTERIA, WKS6-SOTERIA, WKS5-SOTERIA, WKS3-SOTERIA",,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
WinVerifyTrust Signature Validation CVE-2013-3900 Mitigation (EnableCertPaddingCheck)

Description:
The remote system may be in a vulnerable state to CVE-2013-3900 due to a missing or misconfigured registry keys:
    - HKEY_LOCAL_MACHINE\Software\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck
    - HKEY_LOCAL_MACHINE\Software\Wow6432Node\Microsoft\Cryptography\Wintrust\Config\EnableCertPaddingCheck     An unauthenticated, remote attacker could exploit this, by sending specially crafted requests, to execute arbitrary code on an affected host.",,166555,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,Soteria Software LLC,,,High,"WKS7-SOTERIA, WKS6-SOTERIA, WKS5-SOTERIA, WKS4-SOTERIA, WKS3-SOTERIA, WKS2-SOTERIA, WKS1-SOTERIA",,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
KB5075941: Windows 11 version 23H2 Security Update (February 2026)

Description:
The remote Windows host is missing security update 5075941. It is, therefore, affected by multiple vulnerabilities

  - Protection mechanism failure in MSHTML Framework allows an unauthorized attacker to bypass a security     feature over a network. (CVE-2026-21513)

  - Access of resource using incompatible type ('type confusion') in Desktop Window Manager allows an     authorized attacker to elevate privileges locally. (CVE-2026-21519)

  - Heap-based buffer overflow in Windows Hyper-V allows an authorized attacker to execute code locally.
    (CVE-2026-21244, CVE-2026-21248)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.",,298554,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,Soteria Software LLC,,,High,"WKS2-SOTERIA, WKS1-SOTERIA",,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
KB5073455: Windows 11 version 23H2 Security Update (January 2026)

Description:
The remote Windows host is missing security update 5073455. It is, therefore, affected by multiple vulnerabilities

  - Untrusted pointer dereference in Windows Cloud Files Mini Filter Driver allows an authorized attacker to     elevate privileges locally. (CVE-2026-20857)

  - An issue was discovered in Broadcom) LSI PCI-SV92EX Soft Modem Kernel Driver through 2.2.100.1 (aka     AGRSM64.sys). There is Local Privilege Escalation to SYSTEM via a Stack Overflow in RTLCopyMemory (IOCTL     0x1b2150). An attacker can exploit this to elevate privileges from a medium-integrity process to SYSTEM.
    This can also be used to bypass kernel-level protections such as AV or PPL, because exploit code runs with     high-integrity privileges and can be used in coordinated BYOVD (bring your own vulnerable driver)     ransomware campaigns. (CVE-2023-31096)

  - Windows Remote Procedure Call Interface Definition Language (IDL) Elevation of Privilege Vulnerability     (CVE-2026-20832)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.",,283472,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,Soteria Software LLC,,,High,"WKS2-SOTERIA, WKS1-SOTERIA",,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
KB5071417: Windows 11 version 22H2 /  Windows 11 version 23H2 Security Update (December 2025)

Description:
The remote Windows host is missing security update 5071417. It is, therefore, affected by multiple vulnerabilities

  - Untrusted pointer dereference in Windows Routing and Remote Access Service (RRAS) allows an unauthorized     attacker to execute code over a network. (CVE-2025-62549)

  - Heap-based buffer overflow in Windows Resilient File System (ReFS) allows an authorized attacker to     execute code over a network. (CVE-2025-62456)

  - Out-of-bounds read in Windows Cloud Files Mini Filter Driver allows an authorized attacker to elevate     privileges locally. (CVE-2025-62457)

Note that Nessus has not tested for these issues but has instead relied only on the application's self-reported version number.",,277996,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,Soteria Software LLC,,,High,"WKS2-SOTERIA, WKS1-SOTERIA",,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
Microsoft Windows Notepad < 11.2510 Command Injection (February 2026)

Description:
The Windows 'Microsoft Windows Notepad' app installed on the remote host is prior to version 11.2510. It is, therefore, affected by a command injection vulnerability:

  - Improper neutralization of special elements used in a command allows an unauthorized     attacker to execute code over a network. (CVE-2026-20841)

Note that Nessus has not tested for this issue but has instead relied only on the application's self-reported version number.",,298646,Ongoing,05/22/2026,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,Soteria Software LLC,,,High,WKS1-SOTERIA,,,High,High,,Moderate,High,,Moderate,,Moderate
,"Title:
Windows Speculative Execution Configuration Check

Description:
The remote host has not properly mitigated a series of known speculative execution vulnerabilities. It, therefore, may be affected by :
  - Branch Target Injection (BTI) (CVE-2017-5715)
  - Bounds Check Bypass (BCB) (CVE-2017-5753)
  - Rogue Data Cache Load (RDCL) (CVE-2017-5754)
  - Rogue System Register Read (RSRE) (CVE-2018-3640)
  - Speculative Store Bypass (SSB) (CVE-2018-3639)
  - L1 Terminal Fault (L1TF) (CVE-2018-3615, CVE-2018-3620, CVE-2018-3646)
  - Microarchitectural Data Sampling Uncacheable Memory (MDSUM) (CVE-2019-11091)
  - Microarchitectural Store Buffer Data Sampling (MSBDS) (CVE-2018-12126)
  - Microarchitectural Load Port Data Sampling (MLPDS) (CVE-2018-12127)
  - Microarchitectural Fill Buffer Data Sampling (MFBDS) (CVE-2018-12130)
  - TSX Asynchronous Abort (TAA) (CVE-2019-11135)
  - Intel Branch History Injection (BHI) (CVE-2022-0001)",,132101,Ongoing,,,,,,,,,,ACAS / Nessus :: 10.10.1.202603040133,,,,,Medium,"SOT-WIN2K22-SQL, SOT-WIN2K22-WEB",,,,,,,,,,,
,The version of Google Chrome running on the system must be a supported version.,SI-2,V-221584,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,URLs must be allowlisted for Autoplay use.,SC-18(4),V-221596,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Session only based cookies must be enabled.,AU-10,V-245539,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Create Themes with AI must be disabled.,AU-12,V-275780,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,DevTools Generative AI features must be disabled.,AU-12,V-275781,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,GenAI local foundational model must be disabled.,AU-12,V-275782,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Help Me Write must be disabled.,AU-12,V-275783,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,AI-powered History Search must be disabled.,AU-12,V-275784,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Tab Compare Settings must be disabled.,AU-12,V-275785,Ongoing,,,,,,,,,,Google Chrome Current Windows Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must block Adobe Reader from creating child processes.,SC-18(4),V-278647,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must block credential stealing from the Windows local security authority subsystem.,SC-18(4),V-278648,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must block untrusted and unsigned processes that run from USB.,SC-18(4),V-278649,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must use advanced protection against ransomware.,SC-18(4),V-278650,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must audit process creations originating from PSExec and WMI commands.,SC-18(4),V-278651,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must audit persistence through WMI event subscription.,SC-18(4),V-278652,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,"Microsoft Defender AV must audit executable files from running unless they meet a prevalence, age, or trusted list criterion.",SC-18(4),V-278653,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must block Office communication application from creating child processes.,SC-18(4),V-278654,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must block abuse of exploited vulnerable signed drivers.,SC-18(4),V-278655,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
,Microsoft Defender AV must configure local administrator merge behavior for lists.,SC-18(4),V-278656,Ongoing,,,,,,,,,,Microsoft Defender Antivirus Security Technical Implementation Guide,,,,,medium,"SOT-WIN2K22-01, SOT-WIN2K22-02, SOT-WIN2K22-SQL, SOT-WIN2K22-WEB, WKS1-SOTERIA, WKS2-SOTERIA, WKS3-SOTERIA, WKS4-SOTERIA, WKS5-SOTERIA, WKS6-SOTERIA, WKS7-SOTERIA",,,,,,,,,,,
