Host/Device,Checklist Type,Version,Release,CAT 1 Open,CAT 2 Open,CAT 3 Open,Not a Finding,Not Applicable,Not Reviewed,Last Updated,Tags
SOT-WIN2K22-WEB,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,Microsoft IIS 10.0 Site STIG,2,R15 dated 01 Apr 2026,1,15,0,13,3,12,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,Microsoft IIS 10.0 SVR STIG,3,R7 dated 01 Apr 2026,2,6,1,10,7,14,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,0,0,136,0,0,05/11/2026 05:23 PM,
SOT-WIN2K22-WEB,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS1-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,0,0,22,0,1,05/11/2026 05:23 PM,
WKS1-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,2,0,34,0,10,05/11/2026 05:23 PM,
WKS1-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS1-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS1-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS1-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS1-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,1,0,135,0,0,05/11/2026 05:23 PM,
WKS1-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,2,18,0,186,10,46,05/11/2026 05:23 PM,
WKS1-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS2-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,1,2,19,0,1,05/11/2026 05:23 PM,
WKS2-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,2,0,34,0,10,05/11/2026 05:23 PM,
WKS2-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS2-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS2-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS2-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS2-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,3,1,132,0,0,05/11/2026 05:23 PM,
WKS2-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,2,18,0,186,10,46,05/11/2026 05:23 PM,
WKS2-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS3-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,1,2,19,0,1,05/11/2026 05:23 PM,
WKS3-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,2,0,34,0,10,05/11/2026 05:23 PM,
WKS3-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS3-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS3-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS3-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS3-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,3,1,132,0,0,05/11/2026 05:23 PM,
WKS3-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,3,25,3,205,16,10,05/11/2026 05:23 PM,
WKS3-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS4-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,0,0,22,0,1,05/11/2026 05:23 PM,
WKS4-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,2,0,34,0,10,05/11/2026 05:23 PM,
WKS4-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS4-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS4-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS4-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS4-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,1,0,135,0,0,05/11/2026 05:23 PM,
WKS4-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,2,18,0,186,10,46,05/11/2026 05:23 PM,
WKS4-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS5-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,0,0,22,0,1,05/11/2026 05:23 PM,
WKS5-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,2,0,34,0,10,05/11/2026 05:23 PM,
WKS5-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS5-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS5-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS5-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS5-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,1,0,135,0,0,05/11/2026 05:23 PM,
WKS5-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,2,18,0,186,10,46,05/11/2026 05:23 PM,
WKS5-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS6-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,0,0,22,0,1,05/11/2026 05:23 PM,
WKS6-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,8,0,36,0,2,05/11/2026 05:23 PM,
WKS6-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS6-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS6-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS6-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS6-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,1,0,135,0,0,05/11/2026 05:23 PM,
WKS6-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,3,25,1,207,16,10,05/11/2026 05:23 PM,
WKS6-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
WKS7-SOTERIA,Adobe Acrobat Professional DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,1,2,19,0,1,05/11/2026 05:23 PM,
WKS7-SOTERIA,Adobe Acrobat Reader DC Continuous Track STIG,2,R1 dated 23 Jul 2021,0,1,2,22,0,1,05/11/2026 05:23 PM,
WKS7-SOTERIA,Google Chrome Current Windows STIG,2,R11 dated 02 Jul 2025,0,8,0,36,0,2,05/11/2026 05:23 PM,
WKS7-SOTERIA,Microsoft Defender Antivirus STIG,2,R8 dated 01 Apr 2026,0,29,0,38,0,0,05/11/2026 05:23 PM,
WKS7-SOTERIA,Microsoft DotNet Framework 4.0 STIG,2,R8 dated 01 Apr 2026,0,1,0,3,0,12,05/11/2026 05:23 PM,
WKS7-SOTERIA,Microsoft Edge STIG,2,R5 dated 01 Apr 2026,0,5,0,48,0,8,05/11/2026 05:23 PM,
WKS7-SOTERIA,Mozilla Firefox STIG,6,R7 dated 05 Jan 2026,0,14,1,8,0,11,05/11/2026 05:23 PM,
WKS7-SOTERIA,MSIE 11 STIG,2,R7 dated 01 Apr 2026,1,3,1,132,0,0,05/11/2026 05:23 PM,
WKS7-SOTERIA,WIN 11 STIG,2,R7 dated 01 Apr 2026,3,25,3,205,16,10,05/11/2026 05:23 PM,
WKS7-SOTERIA,Windows Defender Firewall with Advanced Security STIG,2,R2 dated 09 Nov 2023,3,8,9,0,0,1,05/11/2026 05:23 PM,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
